英文,中文,定义
Closing Process,关账过程,将临时账户余额转入留存收益并为下一期作准备的步骤。
Bad Debts,坏账,无法收回的应收账款，确认为损失。
Receivables Turnover Ratio,应收账款周转率,赊销净额除以平均应收账款，衡量收账效率。
Safeguard,保障,为保护资产安全而采取的控制措施。
Title,所有权,对资产拥有法定权利。
Free On Board,船上交货条款,FOB，指定货物所有权转移的时点。
Consolidated,合并的,包含子公司财务数据的整体报表。
Circumstance,情况,影响会计估计和判断的环境因素。
Fraudulent,欺诈的,故意欺骗财务报表使用者的行为。
Promissory,应允的、承付的,指作出承诺，如本票。
Prompt,迅速的、及时的,指快速支付或反馈。
Sales Returns and Allowances,销售退回与折让,客户退货或价格折让，是收入的备抵账户。
Contra-Revenue,抵销收入,用于减少总收入以得出净收入的账户，如销售折扣。
Royalty,版税、特许权使用费,使用他人知识产权支付的费用。
Principal,本金,借款的初始金额，不含利息。
Denominate,以（某货币）为单位,以某种货币表示金额。
Subsidiary Account,明细账户,总账账户下的详细记录客户或项目的账户。
Allowance Method,备抵法,通过估计坏账比例来确认坏账费用的方法。
Deduction,扣除、减项,从总额中减去的部分。
Aging Method,账龄法,根据应收账款账龄估计坏账的方法。
Write Off,核销,确认特定应收账款无法收回并冲销该账户。
Cash Equivalent,现金等价物,期限短、流动性强的短期投资，易于转换为已知金额现金。
Treasury Bills,国库券,短期政府债券，常作为现金等价物。
Idle,闲置的、空闲的,指未使用的资金或资产。
Cash Disbursement,现金支出,公司支付的现金。
Prescribed,规定的、指定的,会计准则或政策要求的程序。
Reconciliation,对账,比较银行余额与企业账面余额并调整差异的过程。
Felon,重罪犯,指犯有严重罪行的人，在财务舞弊中提及。
Outstanding Check,未兑付支票,已开出但尚未被收款人兑现的支票。
Cost Principle,成本原则,资产按取得时的实际成本入账。
Obsolescence,过时、陈旧,因技术进步或需求变化导致资产价值下降。
Marketable Securities,流通证券、可转让证券,可在市场上快速出售的股票或债券。
Merchandise Inventory,商品库存,零售商或批发商持有的待售商品。
Raw Material,原材料,用于生产产品的初始物料。
Work In Process,在产品,已投入生产但尚未完工的产品。
Finished Goods,产成品,已完成生产但尚未出售的产品。
Salable,可销售的,符合销售条件的商品。
Invoice Price,发票价格,供应商开具的发票上列明的价格。
Freight-In,进货运费,购进货物支付的运输费用，计入存货成本。
Materiality Constraint,重要性约束,会计信息允许一定程度的简化，只要不影响决策。
Factory Overhead,制造费用,与生产相关但不直接计入产品的间接费用。
Perpetual,永久的,永续盘存制，每次交易后更新存货记录。
Up-to-date,最新的、当日记账,保持实时更新。
Specific Identification,个别计价法,按每件商品的实际成本结转存货的方法。
First-In First-Out,先进先出法,假设先购入的商品先发出，期末存货为最近购入成本。
Cost Flow Assumptions,成本流假设,FIFO、LIFO、平均成本等假设，用于分配存货成本。
Lower of Cost or Net Realizable Value,成本与可变现净值孰低,存货应按成本与可变现净值中较低者计量。
Holding Loss,持有损失,存货可变现净值下降导致的减值损失。
Clerical Error,笔误,因输入错误造成的会计差错。
Fixture,家具、固定装饰,可固定在建筑物上的设备，属于固定资产。
Patent,专利,政府授予的20年独占权，用于保护发明创造。
Copyright,版权,对原创作品的独占出版和使用权。
Franchises,特许经营权,授权使用商标和经营模式的合同权利。
Goodwill,商誉,企业合并中支付对价超过被购买方可辨认净资产公允价值的部分。
Physical Substance,物理实体,有形资产的特征，无形资产不具备。
Trailers,拖车,运输设备，属于固定资产。
Confer,授予,通过法律或合同赋予权利。
Capitalize,资本化,将支出确认为资产而非费用。
Expense,费用化,将支出立即确认为当期费用。
Declining Balance Method,余额递减法,一种加速折旧方法，每期按账面余额乘以固定比率。
Accelerated Depreciation Method,加速折旧法,早期多提、后期少提折旧的方法，如双倍余额递减法。
Iron Ore,铁矿,自然资源，开采后计入存货。
Timber Tracts,大片木材,林地资源，属于自然资源。
Depletion,损耗,将自然资源成本在开采期内分配的过程。
Contingent Liabilities,或有负债,由过去事项形成的潜在义务，其存在需由未来不确定事项发生与否证实。
Working Capital,营运资金,流动资产减流动负债，反映短期财务健康度。
Present Value,现值,未来现金流量按特定折现率折算成的当前价值。
Bankruptcy,破产,企业无力偿还债务时法律宣布的清算或重组状态。
Pay Off Function,收益函数,博弈论中指基于报告和平均数的收益规则。
Sacrifice,牺牲,为了达成目标而放弃的资源。
Payroll,工资总支出,企业支付的员工薪酬总额。
Federal Taxes,联邦税,美国联邦政府征收的税收。
Retirement Programs,退休计划,企业为员工提供的养老金计划。
Vacation Time,休假时间,员工应享有的带薪假期。
Health Insurance,健康保险,企业为员工提供的医疗保险福利。
Withheld,扣留,从员工工资中扣除并代缴的税款或保费。
Repayment Date,还款日期,贷款需要偿还的日期。
Maturity Date,到期日,债务应全额偿还的日期。
Footnote,脚注,财务报表附注，提供补充说明。
Refinance,再融资,借新债偿还旧债的行为。
Inherently,固有的,某种性质内在固有的。
Subjective,主观的,依赖估计和判断，而非客观事实。
Pledge,抵押,为借款提供资产担保。
Secured Debt,担保债务,有特定资产作为担保的债务。
Unsecured Debt,无担保债务,无资产抵押、仅凭借款人信誉的债务。
Integrity,诚信,会计专业人员应保持的诚实和正直品质。
Pension Plans,养老金计划,企业为员工退休后提供收入的安排。
Lessen,减少,降低风险或成本。
Exchange Rate Risk,汇率风险,因汇率变动导致的损失风险。
Mitigate,减轻,采取措施降低风险的严重性。
Convert,转换,将债务转换为股权或其他形式。
Lease Liability,租赁负债,承租人因租赁合同而承担的支付租金义务的现值。
Finance Leases,融资租赁,实质上转移了资产所有权相关风险和报酬的租赁。
Operating Leases,经营租赁,不转移所有权相关风险和报酬的租赁，短期租赁常见。
Contractual Agreement,合同协议,约定双方权利和义务的法律文件。
Leasee,承租人,支付租金以使用他人资产的实体。
Criteria,标准,用于判断和决策的依据。
Deposit,存款,存入银行或作为保证金的资金。
Annuity,年金,间隔期相等的系列等额收付款项。
Consecutive,连续的,指时间上不间断的序列。
